duration	nudity	violence	profanity	alcohol	frightening	budget	worldwide_gross	is_Action	is_Adult	is_Adventure	is_Animation	is_Biography	is_Comedy	is_Crime	is_Drama	is_Family	is_Fantasy	is_Film-Noir	is_Horror	is_History	is_Music	is_Mystery	is_Romance	is_Sci-Fi	is_Sport	is_Thriller	is_War	is_Western	total_star_score
130	None	Moderate	Mild	None	Moderate	125000000	1342359942	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	330
100	None	Mild	None	None	Moderate	94000000	940352645	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2387
140	None	Moderate	None	None	Moderate	113000000	868390560	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	889
201	None	Moderate	None	Mild	Moderate	94000000	1146436214	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	681
127	Mild	Moderate	Mild	Mild	Moderate	200000000	788976453	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	985
127	None	Severe	Mild	Mild	Severe	30000000	612054506	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3585
87	None	Mild	None	None	Mild	75000000	875458631	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2780
98	Mild	Mild	None	Mild	Mild	76000000	970766005	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500
106	None	Mild	None	None	Moderate	175000000	966554929	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1526
108	Severe	Severe	Severe	Mild	Moderate	58000000	782836791	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2345
95	None	None	None	None	Mild	175000000	858848019	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2163
128	None	Mild	None	None	Mild	183000000	1050693953	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3057
137	Mild	Moderate	Moderate	Mild	Moderate	190000000	1515341399	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	549
154	Mild	Moderate	Moderate	Mild	Moderate	195000000	1123794079	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1825
133	Mild	Severe	Severe	Mild	Severe	58800000	547459020	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3022
179	None	Moderate	None	Mild	Moderate	94000000	947896241	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	681
108	None	Mild	None	Mild	Mild	150000000	1024121104	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602
123	None	Moderate	None	None	Mild	125000000	755356711	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1087
139	Mild	Moderate	Mild	Mild	Moderate	258000000	894983373	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1645
91	Mild	Mild	None	None	Mild	74000000	1159444662	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136
122	Mild	Severe	Moderate	Moderate	Severe	55000000	1074445730	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2732
143	None	Moderate	Mild	Mild	Mild	160000000	1148528393	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1920
133	Mild	Mild	Mild	None	Mild	175000000	880166924	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	253
108	None	Moderate	None	Mild	Moderate	200000000	1025468216	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1246
121	Mild	Moderate	Moderate	Mild	Mild	170000000	773350147	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
152	Mild	Moderate	Moderate	Mild	Moderate	250000000	873637528	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1508
142	Moderate	Moderate	Moderate	Moderate	Moderate	55000000	678226133	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1746
135	Mild	Severe	Severe	Mild	Severe	35000000	701842551	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4000
123	Mild	Moderate	Moderate	Mild	Moderate	175000000	746846894	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2389
119	Moderate	Severe	Severe	Moderate	Moderate	110000000	785896609	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2251
121	None	Mild	None	Mild	Mild	11000000	775398007	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	942
93	Mild	Mild	Mild	Mild	Mild	160000000	813367380	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796
144	Mild	Moderate	Moderate	Mild	Moderate	150000000	709709780	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1727
126	Mild	Moderate	Mild	Mild	Moderate	140000000	585796247	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1622
152	None	Mild	Mild	None	Mild	125000000	1022290019	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1008
122	None	Moderate	Mild	Mild	Moderate	185000000	790653942	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349
123	Mild	Mild	Moderate	None	Mild	125000000	800059707	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427
178	None	Moderate	None	Mild	Moderate	93000000	898094742	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	544
130	Mild	Moderate	Mild	Mild	Mild	180000000	853983879	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138
124	Mild	Moderate	Mild	Mild	Moderate	200000000	623933331	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1050
142	Mild	Moderate	None	Mild	Moderate	115000000	653779970	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1020
169	Mild	Moderate	Mild	Mild	Moderate	300000000	960996492	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	359
131	Mild	Mild	None	Mild	Mild	32500000	475106177	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	884
145	Mild	Moderate	Moderate	Mild	Moderate	75000000	817400891	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1717
143	Mild	Moderate	Mild	Moderate	Moderate	140000000	654264015	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	359
143	Mild	Moderate	Mild	Mild	Moderate	200000000	1108569499	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1124
169	None	Moderate	None	Mild	Moderate	180000000	1017030651	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	750
153	Mild	Moderate	Mild	Mild	Moderate	250000000	934483039	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	330
124	Mild	Moderate	Mild	Mild	Moderate	68000000	698491347	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1961
130	Mild	Moderate	Mild	Mild	Moderate	50000000	711025481	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1961
146	Mild	Moderate	Mild	Mild	Moderate	183000000	977070383	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	400
107	Mild	Moderate	Mild	Mild	Moderate	40000000	672806432	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3029
96	None	Mild	None	None	Moderate	175000000	735099102	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2452
148	None	Moderate	Mild	Mild	Moderate	160000000	836848102	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1856
115	Moderate	Severe	Mild	None	Moderate	120000000	829747654	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1483
138	None	Moderate	Mild	None	Moderate	150000000	942201710	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	368
143	None	Moderate	None	None	Moderate	180000000	745013115	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3178
143	None	Moderate	Mild	Mild	Moderate	225000000	668045518	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1609
124	None	Mild	None	None	Moderate	18000000	538375067	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	884
157	None	Moderate	Mild	None	Moderate	150000000	896730264	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1241
92	None	Mild	None	None	Mild	115000000	579707738	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2141
103	None	Mild	Mild	Mild	Mild	18000000	476684675	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4000
137	None	Moderate	None	Mild	Moderate	160000000	653428261	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1087
138	Moderate	Moderate	Moderate	Mild	Moderate	150000000	741847937	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1395
117	Moderate	Moderate	None	Mild	Severe	110000000	712205856	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1762
115	Moderate	Mild	Mild	Mild	None	80000000	522657936	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2304
100	Moderate	Mild	Severe	Moderate	Mild	35000000	469328079	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2305
91	None	Moderate	Moderate	None	Moderate	100000000	723192705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1772
85	None	None	None	None	None	75000000	512858819	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3009
108	None	None	None	None	Mild	75000000	634338384	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1951
104	None	None	None	None	Mild	200000000	743559645	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1348
90	Mild	Mild	Mild	Mild	Mild	60000000	488351320	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079
89	Mild	Mild	None	None	Mild	80000000	1034800131	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2096
136	Mild	Moderate	Mild	Mild	Moderate	230000000	757930663	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1816
161	None	Mild	Mild	None	Moderate	100000000	879928511	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	992
115	Mild	Mild	None	Mild	Mild	92000000	631607053	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1705
104	Mild	Mild	Mild	None	Mild	123000000	345823032	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2640
124	Mild	Severe	Mild	Mild	Severe	7000000	471411300	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3928
136	None	Moderate	Mild	Mild	Moderate	170000000	714421503	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	255
161	None	Moderate	None	Mild	Moderate	225000000	959027992	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1226
100	None	Mild	None	None	Mild	60000000	468266122	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678
127	Mild	Moderate	Mild	Mild	Moderate	150000000	385680446	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2485
101	None	Moderate	Mild	None	Moderate	150000000	585410052	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3057
129	Mild	Mild	Mild	Mild	Mild	29000000	309231694	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3228
144	None	Severe	Mild	Mild	Moderate	250000000	962201338	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	769
102	Severe	Moderate	Severe	Severe	Moderate	80000000	586764305	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2305
95	None	Mild	None	None	Mild	69000000	543157985	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1799
126	Mild	Moderate	Mild	Mild	Moderate	35000000	411569241	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2822
108	None	Mild	Mild	None	Mild	110000000	574481229	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2487
98	Mild	Moderate	Moderate	Mild	Moderate	90000000	589390539	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1797
142	None	Moderate	Mild	Mild	Moderate	130000000	797568607	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	390
107	None	Mild	None	None	Mild	150000000	643668897	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400
